# De Novo Monomer Dataset compiled by Daniel Peñas-Utrilla and Enrique Marcos (July 2022)

# Designs were collected from the following references:

# id Reference
#-------------------------------------------------------------
#  1  Koga N et al.,Nature(2012). doi:10.1038/nature11600 
#  2  Lin YR et al.,PNAS(2015). doi: 10.1073/pnas.1509508112
#  3  Brunette TJ et al.,Nature(2015). doi:10.1038/nature16162
#  4  Doyle L et al.,Nature(2015). doi:10.1038/nature16191
#  5  Marcos E et al.,Science(2017). doi:10.1126/science.aah7389
#  6  Dou J et al.,Nature(2018). doi:10.1038/s41586-018-0509-0
#  7  Marcos E et al.,Nat.Struct.Mol.Biol.(2018). doi:10.1038/s41594-018-0141-6
#  8  Basanta B et al.,PNAS(2020). doi:10.1073/pnas.2005412117
#  9  Pan X et al.,Science(2020). doi:10.1126/science.abc0881
# 10  Minami S et al.,Biorxiv(2021). doi:10.1101/2021.08.06.455475
# 11  Chidyausiku TM et al.,Biorxiv(2021). doi:10.1101/2021.12.20.472081
# 12  Kuhlman B et al.,Science(2003). doi:10.1126/science.1089427
# 13  Huang PS et al.,Nat.Chem.Biol.(2016). doi:10.1038/nchembio.1966
# 13  Rocklin GJ et al.,Science(2017). doi:10.1126/science.aan0693

# the pdb field below corresponds to the name of the design as reported in the corresponding reference plus a ".0" or ".1" suffix if the design was considered unsuccessful or successful, respectively.
# succesful designs were those reported to be predominantly monomeric by SEC-MALS and had a circular dichroism spectra compatible with the design structure

pdb,median_plddt_CF,median_min_plddt_CF,median_res_plddt75_CF,median_rmsd_intra,median_rmsd_alone,median_inter_nres,max_inter_nres,median_buried_hydrophobic_surface,median_ddg,median_sasa_interface,median_monomer_hpatch,median_monomer_sap_score,median_total_score_monomer_relax,graph_solubility,Soluprot_solubility,net_charge72,median_plddt,plddt_bm,plddt_wm,min_plddt_bm,median_%_res_plddt_upper75,median_q_score,q_score_bm,q_score_wm,median_CA_rms,mean_CA_rms_bm,max_CA_rms_bm,mean_CA_rms_wm,median_%_res_CA_rms_low15,perc_low_rms,tot_exp,maxrmsd,maxavg,av_all_low3_rms,hpatch_monomer,SAP_monomer,total_score_monomer,monomer,reference_id
BB3.0,84.34,62.6,86.79,0.08,0.27,7.0,11,100.53,-11.46,355.14,4.32,41.67,-6.5,0.468,0.3649,2.52,91.26,92.14,84.62,68.39,96.33,0.87,0.88,0.87,0.82,0.77,1.52,0.83,95.41,54.8,438431.9,1.66,5.45,0.55,4.64,41.48,-3.52,0,6
BB4.0,88.76,70.28,98.11,0.11,0.27,3.0,8,104.34,-11.68,391.09,5.68,40.76,-6.8,0.502,0.4609,5.51,89.87,93.02,85.6,82.46,97.25,0.85,0.86,0.85,0.93,0.9,3.07,0.93,92.66,53.5,426106.7,1.3,5.2,0.52,4.64,36.87,-3.64,0,6
BH_1.0,87.45,80.68,100.0,0.08,0.27,1.0,6,108.24,-5.83,143.51,1.04,20.3,-7.32,0.64,0.7576,-2.94,89.06,91.39,87.0,86.29,95.52,0.8,0.82,0.8,1.23,1.11,4.79,1.27,80.6,63.0,123788.9,0.89,3.45,0.45,0.32,17.09,-3.82,0,7
BH_10.1,90.64,73.04,98.61,0.1,0.32,5.5,16,101.3,-16.86,483.68,1.44,29.12,-7.03,0.578,0.8446,-0.69,93.18,93.62,91.73,76.47,96.0,0.9,0.91,0.89,0.7,0.68,0.84,0.72,96.0,57.2,137027.5,0.87,3.05,0.43,0.96,29.56,-3.57,1,7
BH_11.1,91.73,82.69,100.0,0.11,0.38,1.5,4,97.88,-2.45,83.8,1.6,24.44,-7.44,0.631,0.5988,-4.57,94.65,95.18,93.64,89.4,96.2,0.92,0.92,0.91,0.65,0.64,0.79,0.68,96.2,75.0,65388.1,0.53,2.16,0.35,0.96,23.48,-3.8,1,7
BH_12.0,87.09,76.62,100.0,0.11,0.38,2.0,4,114.58,-9.56,238.26,2.64,27.09,-7.48,0.613,0.7055,-4.82,88.25,89.63,86.47,82.71,96.7,0.84,0.92,0.82,0.98,0.67,0.75,1.08,96.7,68.4,147267.7,1.13,4.3,0.4,4.0,31.78,-3.75,0,7
BH_13.0,88.44,76.24,100.0,0.12,0.34,4.0,8,112.06,-12.13,261.11,2.32,18.92,-7.58,0.633,0.7447,-4.18,84.62,85.53,79.24,75.42,93.41,0.87,0.88,0.86,0.85,0.8,0.89,0.88,96.7,67.8,180626.9,0.64,4.21,0.38,2.72,19.38,-3.87,0,7
BH_2.0,78.74,66.18,74.26,0.21,0.6,7.0,14,114.3,-9.68,239.98,1.76,19.22,-7.2,0.664,0.8519,-3.21,81.59,83.72,77.36,70.92,85.92,0.86,0.87,0.85,1.36,1.32,13.84,1.45,85.92,63.8,165966.8,0.69,3.84,0.44,1.44,17.75,-3.6,0,7
BH_3.0,89.38,83.25,100.0,0.08,0.2,1.0,4,106.12,-3.66,119.16,1.52,21.56,-7.51,0.605,0.6819,-2.05,87.55,89.37,86.52,83.99,95.52,0.9,0.9,0.89,0.7,0.68,0.82,0.71,95.52,65.2,111572.9,0.83,3.51,0.43,1.28,21.26,-3.89,0,7
BH_4.0,79.33,55.59,76.56,0.12,0.59,7.5,8,99.64,-7.62,111.96,0.48,14.09,-6.86,0.627,0.7971,-2.99,84.5,85.4,81.48,78.98,95.52,0.9,0.9,0.9,0.7,0.68,0.85,0.71,95.52,62.7,125325.3,1.0,3.28,0.44,0.48,12.37,-3.51,0,7
BH_5.0,73.6,63.91,42.18,0.07,0.97,13.0,16,108.55,-18.42,454.84,2.0,28.28,-6.88,0.821,0.8075,-0.94,82.22,83.77,76.76,73.9,88.06,0.88,0.9,0.88,0.76,0.7,0.89,0.78,95.52,60.4,126623.9,0.8,3.39,0.45,1.76,26.05,-3.62,0,7
BH_6.0,84.86,75.03,99.22,0.11,0.5,3.0,6,113.54,-4.0,227.42,3.68,32.06,-7.17,0.593,0.6916,1.0,82.19,87.42,79.36,75.81,83.58,0.8,0.87,0.79,1.13,0.81,0.94,1.19,89.55,71.6,74648.3,0.63,2.36,0.42,3.04,31.55,-3.75,0,7
BH_7.0,68.1,52.21,15.32,0.38,0.97,21.0,23,72.88,-49.8,886.08,1.84,27.52,-5.8,0.605,0.551,-0.58,73.11,79.81,45.75,70.74,35.38,0.66,0.67,0.64,2.2,2.14,3.65,2.45,0.0,34.3,171754.7,1.98,4.34,0.7,2.88,22.85,-3.01,0,7
BH_8.0,90.78,79.97,100.0,0.11,0.48,1.5,7,75.74,-6.14,120.25,4.72,24.84,-6.4,0.652,0.5834,-1.12,90.87,91.24,88.69,84.3,95.38,0.89,0.9,0.87,0.73,0.7,0.92,0.79,95.38,46.7,118227.4,2.16,3.58,0.7,4.8,27.17,-3.24,0,7
BH_9.0,91.92,82.97,100.0,0.09,0.34,0.0,6,94.32,-1.9,135.62,2.8,21.92,-6.58,0.672,0.7923,-1.27,92.83,93.94,57.37,88.51,95.38,0.86,0.87,0.86,0.84,0.8,1.05,0.86,95.38,58.7,97733.9,1.18,2.74,0.52,1.76,17.5,-3.39,0,7
Cb1_ff.0,62.91,36.44,6.32,0.34,1.88,2.0,7,83.17,-3.77,89.92,3.36,27.45,-5.89,0.668,0.8122,-3.49,64.74,73.22,58.71,56.25,0.0,0.77,0.77,0.76,1.46,1.44,2.66,1.49,60.98,51.2,213196.8,1.37,4.77,0.52,2.08,28.07,-3.04,0,6
Cb1_ff_neg.0,77.74,50.0,65.82,0.37,1.28,1.5,4,82.09,-3.18,96.56,1.44,15.32,-5.79,0.846,0.4681,-20.46,69.78,76.23,59.23,46.74,32.93,0.68,0.7,0.67,2.22,1.99,4.46,2.42,7.32,40.5,262873.8,2.21,4.33,0.62,1.44,21.47,-2.96,0,6
Cb1_ff_pos.0,75.22,48.36,59.49,0.21,0.81,0.0,5,93.5,-2.94,51.25,4.64,18.56,-6.12,0.595,0.5199,10.45,76.83,78.29,71.81,53.17,60.98,0.78,0.79,0.77,1.47,1.37,2.97,1.59,64.63,56.0,290330.4,3.23,5.05,0.67,4.16,15.47,-2.99,0,6
Cb1_ff_ssbond.0,60.44,51.08,0.0,0.31,0.98,0.0,4,83.65,-1.47,92.17,4.24,16.92,-6.08,0.713,0.7957,-6.57,66.49,72.47,58.48,55.15,1.19,0.69,0.7,0.68,2.14,2.02,4.75,2.22,4.76,52.9,229851.0,2.46,4.97,0.51,4.16,19.08,-3.05,0,6
Cb1_ssm.0,57.07,37.38,0.0,0.38,6.99,4.0,44,103.52,-9.99,167.96,3.28,24.83,-5.05,0.644,0.7685,-3.54,53.55,70.96,51.27,42.77,0.0,0.75,0.76,0.74,1.65,1.52,2.58,1.71,31.71,53.6,234369.8,1.98,4.67,0.5,17.6,73.0,-2.39,0,6
Cb_short_1.0,53.8,32.71,0.0,0.35,3.38,3.0,40,104.4,-7.05,126.48,3.68,21.3,-5.02,0.631,0.7487,-2.54,56.13,59.72,50.7,39.05,0.0,0.64,0.66,0.63,2.75,2.44,4.34,2.98,3.66,45.8,254937.3,1.6,4.63,0.68,0.48,32.6,-2.68,0,6
Cb_short_2.0,71.69,53.18,34.17,0.22,3.54,3.0,9,100.24,-7.19,165.49,1.04,23.12,-5.42,0.586,0.7883,1.45,65.14,69.55,63.25,48.26,3.66,0.73,0.76,0.72,1.78,1.53,4.32,1.87,35.37,50.8,237917.0,1.41,4.89,0.52,1.76,27.83,-2.57,0,6
Cb_short_3.0,56.94,32.42,0.0,0.35,1.33,3.0,5,117.84,-6.25,101.64,2.56,41.5,-5.68,0.583,0.8966,-2.49,66.23,68.97,58.33,39.68,20.48,0.62,0.63,0.61,3.25,3.16,6.47,3.48,0.0,48.2,148496.0,2.09,3.31,0.56,2.4,60.85,-2.77,0,6
DHR1.1,82.78,54.39,83.34,0.17,0.94,8.0,10,146.18,-8.29,274.86,7.84,52.68,-6.77,0.611,0.46,-0.71,91.74,92.7,89.13,65.74,94.83,0.74,0.77,0.73,1.78,1.55,2.98,1.92,25.86,78.1,125920.5,1.76,2.66,0.42,8.0,46.5,-3.51,1,3
DHR10.1,84.1,66.91,88.92,0.25,0.67,0.0,4,143.2,-2.25,11.03,2.8,34.78,-7.16,0.633,0.9189,-6.56,89.69,94.84,84.29,87.5,96.95,0.86,0.87,0.86,0.98,0.91,2.05,0.99,96.45,67.0,358212.7,3.3,3.88,0.64,2.4,37.39,-3.76,1,3
DHR11.1,92.7,79.84,100.0,0.11,0.28,0.0,7,133.2,-5.15,76.09,3.6,11.31,-7.44,0.665,0.2662,2.36,95.86,96.34,94.09,87.18,98.29,0.72,0.73,0.72,1.98,1.95,3.44,2.01,21.14,71.0,174863.8,0.88,3.38,0.21,6.24,13.25,-3.91,1,3
DHR12.0,84.42,67.53,97.14,0.16,0.76,2.5,5,117.81,-10.21,139.67,0.72,16.3,-6.38,0.781,0.6967,-24.67,85.73,90.48,84.24,62.6,90.21,0.55,0.55,0.54,4.96,4.83,7.37,4.94,0.0,62.4,187000.9,1.68,2.99,0.32,0.64,16.81,-3.46,0,3
DHR13.1,83.78,51.16,98.22,0.16,0.44,1.5,4,119.06,0.0,0.0,1.12,13.02,-6.9,0.789,0.7188,-11.58,87.99,90.89,85.64,60.53,96.5,0.52,0.52,0.5,5.37,5.17,8.16,5.71,0.0,78.7,123809.9,0.43,3.19,0.19,2.56,9.19,-3.67,1,3
DHR14.1,91.55,75.81,100.0,0.09,1.16,0.0,3,152.41,-9.22,139.38,7.04,32.22,-7.04,0.912,0.9704,-18.53,94.65,95.44,93.35,77.6,98.11,0.93,0.95,0.93,0.65,0.59,1.25,0.65,98.11,70.7,241683.6,2.62,3.65,0.38,3.68,33.17,-3.76,1,3
DHR15.1,92.97,77.33,100.0,0.11,0.29,1.0,8,136.64,-14.48,267.48,2.96,22.7,-7.61,0.787,0.7803,-10.68,95.85,96.15,94.76,79.69,98.36,0.8,0.83,0.8,1.42,1.24,2.54,1.43,65.57,71.7,248909.6,2.76,3.7,0.33,2.08,22.21,-3.93,1,3
DHR16.1,94.98,85.8,100.0,0.16,0.29,1.0,8,149.36,-2.44,3.08,4.64,13.98,-7.98,0.655,0.806,-5.68,97.3,97.52,95.93,92.31,98.29,0.65,0.66,0.64,3.33,3.2,7.34,3.33,2.29,74.4,175468.0,0.51,3.16,0.15,1.92,10.01,-4.27,1,3
DHR17.1,95.12,81.74,100.0,0.09,0.29,0.0,0,156.08,-4.91,55.89,5.52,27.06,-7.89,0.691,0.7899,-2.67,96.93,97.32,96.47,86.96,98.6,0.98,1.0,0.96,0.49,0.45,0.47,0.55,98.6,82.7,168651.9,1.14,3.43,0.23,5.12,19.29,-4.12,1,3
DHR18.1,90.76,67.97,98.51,0.18,0.38,2.0,4,132.0,-4.46,147.37,18.24,24.99,-7.27,0.703,0.9401,-9.25,95.24,95.55,93.44,84.51,98.74,0.88,0.9,0.88,0.87,0.8,1.76,0.89,97.9,76.0,247720.2,1.99,3.54,0.32,10.24,24.63,-3.77,1,3
DHR19.1,92.08,80.82,100.0,0.15,0.42,2.0,22,134.28,-6.55,45.62,3.52,7.68,-7.5,0.83,0.7279,-12.58,73.51,96.5,66.34,84.18,49.33,0.91,0.92,0.9,0.74,0.71,1.14,0.76,98.0,53.8,227450.9,2.24,3.12,0.46,6.4,8.44,-3.83,1,3
DHR2.0,93.81,79.48,100.0,0.16,0.3,1.0,6,145.61,-4.96,31.78,4.0,11.35,-7.84,0.649,0.35,2.45,96.67,97.01,95.67,87.17,98.29,0.75,0.77,0.74,1.73,1.52,3.38,1.77,40.0,70.6,163292.1,1.27,2.91,0.2,1.44,13.12,-4.09,0,3
DHR20.1,92.8,85.35,100.0,0.1,0.42,0.0,4,142.91,-5.81,53.53,5.6,19.6,-7.44,0.864,0.707,-16.58,96.37,96.64,81.95,89.69,98.0,0.86,0.87,0.86,0.96,0.94,1.79,0.98,96.67,69.0,172861.9,2.11,3.02,0.24,3.68,22.05,-3.97,1,3
DHR21.1,91.83,79.04,100.0,0.13,0.45,0.0,0,143.12,0.0,0.0,0.96,23.87,-7.4,0.722,0.8952,-13.58,93.29,94.8,75.16,85.71,98.0,0.8,0.83,0.78,1.34,1.15,2.58,1.46,72.67,67.1,161405.1,1.76,3.57,0.36,1.12,25.46,-3.85,1,3
DHR22.0,92.64,80.04,100.0,0.1,0.2,0.0,3,143.58,-0.0,0.0,2.4,22.95,-7.47,0.747,0.8206,-16.58,95.14,95.81,66.1,83.9,98.1,0.81,0.81,0.8,1.36,1.35,2.72,1.45,70.89,81.9,129251.4,0.6,3.03,0.19,2.72,26.1,-3.9,0,3
DHR23.1,62.58,48.0,11.29,0.4,6.06,6.5,11,154.16,-2.48,3.59,10.56,33.18,-6.38,0.574,0.4961,11.4,79.26,80.7,78.36,65.83,62.66,0.73,0.74,0.72,2.12,1.98,4.08,2.31,22.15,69.2,171465.7,2.11,3.11,0.37,9.12,33.28,-3.43,1,3
DHR24.1,92.34,79.22,100.0,0.1,0.32,1.0,24,137.91,-6.77,68.57,4.8,32.97,-7.16,0.812,0.8004,-14.7,95.85,96.24,82.91,85.68,98.35,0.85,0.86,0.84,1.03,1.0,1.69,1.13,91.76,68.3,236926.0,3.44,3.75,0.51,5.44,23.05,-3.8,1,3
DHR25.1,87.66,57.46,89.72,0.16,0.44,12.5,21,144.64,-20.44,455.51,2.96,19.04,-7.52,0.769,0.7239,-11.57,91.83,93.24,81.49,73.8,96.63,0.81,0.82,0.79,1.35,1.28,2.85,1.52,62.36,77.5,179578.4,1.33,3.65,0.29,5.76,15.87,-3.97,1,3
DHR26.1,93.76,75.78,100.0,0.09,0.23,1.0,5,134.34,-10.67,63.29,1.12,17.26,-7.52,0.78,0.867,-21.66,96.23,96.45,95.33,82.53,98.54,0.86,0.87,0.85,1.03,0.97,1.96,1.05,91.26,71.6,294558.0,3.68,3.82,0.85,1.28,18.65,-3.96,1,3
DHR27.1,71.47,36.58,49.29,0.42,2.12,1.0,8,143.66,0.0,0.0,5.12,29.79,-6.86,0.794,0.6984,-19.55,67.53,76.06,56.06,44.09,43.46,0.71,0.73,0.7,3.19,2.59,8.65,3.52,37.38,73.8,265842.3,3.51,3.76,0.76,5.6,38.63,-3.63,1,3
DHR28.0,88.04,58.62,95.35,0.28,0.82,4.5,11,153.0,-9.0,176.08,1.12,25.6,-7.68,0.74,0.6832,-19.52,92.89,94.04,91.41,66.87,95.87,0.63,0.71,0.61,3.55,2.21,4.52,4.12,0.0,72.0,289466.3,3.59,4.04,0.83,2.72,27.68,-4.01,0,3
DHR29.0,91.81,80.21,100.0,0.12,0.36,5.5,14,140.6,-10.28,268.53,2.16,21.88,-7.63,0.793,0.818,-17.55,95.48,96.44,81.65,89.83,98.57,0.83,0.84,0.82,1.19,1.14,2.06,1.24,83.81,70.4,305030.9,3.65,3.77,0.75,1.92,17.01,-4.05,0,3
DHR3.1,87.93,71.91,98.17,0.2,0.48,6.5,11,115.24,-9.51,241.87,2.48,17.12,-6.27,0.607,0.415,-1.8,93.28,94.21,90.91,80.22,98.2,0.67,0.67,0.66,2.74,2.64,3.87,2.78,0.0,78.9,135755.8,0.94,2.82,0.26,1.76,18.6,-3.21,1,3
DHR30.0,90.5,63.84,96.04,0.16,0.24,5.5,15,161.17,-7.05,208.68,2.64,31.94,-8.06,0.683,0.6911,-13.55,95.12,95.55,94.26,75.76,97.71,0.67,0.68,0.66,2.78,2.55,5.42,2.97,5.5,75.5,257763.2,3.04,3.71,0.37,1.92,30.6,-4.19,0,3
DHR31.1,91.16,55.6,98.74,0.43,0.55,11.5,14,136.98,-20.15,388.92,4.08,30.42,-7.14,0.681,0.5612,-11.58,96.04,96.9,64.52,80.24,98.15,0.78,0.8,0.76,1.62,1.47,2.89,1.85,43.83,72.4,116704.9,1.65,2.54,0.33,5.6,29.44,-3.82,1,3
DHR32.1,92.16,78.0,100.0,0.15,0.42,1.5,4,133.14,-2.37,36.92,1.68,21.28,-7.13,0.724,0.7552,-8.57,96.33,96.37,94.79,84.36,98.15,0.74,0.75,0.65,2.12,2.03,4.88,3.68,22.22,74.5,152664.2,0.94,3.27,0.22,1.6,21.31,-3.74,1,3
DHR33.0,73.96,57.28,44.96,0.48,2.08,1.0,5,116.39,-4.21,315.07,5.44,22.56,-6.68,0.847,0.6799,-11.58,84.64,85.68,82.15,60.71,87.04,0.75,0.76,0.72,1.82,1.68,3.13,2.06,17.9,75.5,148042.7,1.91,3.5,0.27,5.6,22.96,-3.66,0,3
DHR34.0,87.48,68.97,97.48,0.32,0.56,2.0,7,108.62,-7.92,158.35,6.24,16.9,-6.74,0.794,0.6159,-11.68,78.11,85.03,62.6,62.07,74.07,0.63,0.64,0.63,3.35,3.1,7.72,3.42,0.0,75.7,156613.5,2.24,3.48,0.3,8.96,19.48,-3.59,0,3
DHR35.0,92.32,66.83,98.74,0.11,0.96,3.0,9,116.46,-9.84,158.33,2.48,9.62,-7.12,0.787,0.7431,-17.57,93.43,94.09,91.81,81.65,96.91,0.64,0.65,0.63,3.45,3.26,5.97,3.66,0.0,67.9,235944.9,3.27,3.52,0.39,1.12,14.53,-3.73,0,3
DHR36.1,88.56,76.12,100.0,0.22,6.58,0.0,5,122.16,-0.0,14.48,39.68,18.44,-7.36,0.706,0.559,17.38,91.89,94.3,89.29,84.91,98.15,0.71,0.72,0.69,2.65,2.42,5.28,2.73,7.41,77.3,153233.8,1.89,3.3,0.29,32.48,26.79,-3.7,1,3
DHR37.0,91.72,77.03,100.0,0.16,0.24,9.0,22,133.32,-14.42,280.69,2.32,25.01,-7.24,0.707,0.8629,-2.61,92.63,94.23,90.03,79.1,97.53,0.67,0.72,0.63,3.3,2.5,5.96,3.91,19.14,76.6,170690.9,2.69,3.62,0.38,4.16,27.33,-3.86,0,3
DHR38.0,90.3,76.29,100.0,0.16,0.36,16.5,24,126.96,-19.88,359.12,2.24,25.7,-6.96,0.678,0.8222,-2.71,90.81,92.58,88.77,73.23,97.53,0.57,0.57,0.56,5.12,4.87,11.07,5.24,0.0,80.4,150627.5,2.53,3.6,0.34,1.44,27.07,-3.65,0,3
DHR39.1,93.75,69.0,99.39,0.11,0.24,2.0,5,123.12,-6.89,192.6,1.76,15.37,-7.27,0.689,0.5932,-10.56,96.84,97.06,95.01,81.19,98.19,0.86,0.86,0.86,1.06,1.05,2.55,1.07,95.78,61.8,259916.4,1.79,3.49,0.38,0.8,14.87,-3.8,1,3
DHR4.1,89.02,72.26,99.48,0.08,0.4,0.0,13,136.56,-6.77,149.66,4.24,42.64,-7.2,0.66,0.9172,-16.65,96.2,97.18,94.87,88.47,98.47,0.89,0.89,0.89,0.88,0.87,1.34,0.9,98.47,73.6,223202.8,1.51,3.24,0.21,7.04,49.49,-3.76,1,3
DHR40.0,92.54,73.86,99.4,0.08,0.47,4.5,12,125.94,-9.26,204.4,2.8,9.36,-7.74,0.792,0.8389,-26.55,95.4,96.15,94.5,78.08,98.24,0.82,0.83,0.82,1.31,1.26,1.95,1.33,75.88,72.5,218149.6,3.34,3.54,0.43,0.96,6.89,-4.01,0,3
DHR41.0,91.68,69.37,99.1,0.1,0.36,0.0,4,127.08,-2.81,54.87,8.16,38.22,-7.14,0.737,0.5533,0.34,94.81,95.18,94.13,73.64,98.23,0.7,0.7,0.69,2.49,2.44,5.04,2.61,0.0,78.9,234753.2,3.14,3.73,0.37,24.0,39.1,-3.76,0,3
DHR42.0,85.14,67.26,97.31,0.24,0.64,10.0,31,143.08,-16.91,309.75,8.32,21.9,-7.96,0.724,0.6547,5.52,92.56,93.0,90.6,77.69,98.67,0.72,0.73,0.71,2.31,2.06,5.92,2.34,30.09,71.9,321726.0,3.64,3.76,0.82,6.88,21.84,-4.17,0,3
DHR43.0,91.32,76.84,100.0,0.12,0.22,3.5,6,139.64,-5.07,104.72,7.12,22.52,-7.92,0.811,0.6947,-11.56,94.74,95.27,94.23,80.21,98.67,0.87,0.93,0.87,0.96,0.67,1.23,0.97,96.9,73.4,296391.1,3.5,3.79,0.6,6.24,20.92,-4.12,0,3
DHR44.0,92.74,78.6,100.0,0.08,2.16,4.5,7,125.5,0.0,0.0,3.44,19.81,-7.26,0.817,0.5849,-5.59,93.81,95.09,91.5,80.77,97.83,0.82,0.82,0.81,1.31,1.29,2.72,1.36,80.43,72.9,156545.8,2.2,3.59,0.4,0.96,22.18,-3.83,0,3
